,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
42,Women Pack of 2 Printed Pure Cotton Lounge Tshirts,Rs.1998,Rs.599,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/kryptic/kryptic-women-pack-of-2-pink-and-blue-printed-pure-cotton-lounge-tshirts/18689534/buy,4.3,31
43,Men Barrie Slim Fit Polo,Rs.3499,Rs.1679,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-barrie-band-collar-slim-fit-cotton-t-shirt/23669078/buy,4,134
44,Men Pockets T-shirt,Rs.2247,Rs.584,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/r.code+by+the+roadster+life+co./rcode-by-the-roadster-life-co-pack-of-3-men-round-neck-short-sleeves-regular-fit-tshirts/29587402/buy,4.6,14
45,Printed Cotton Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/van+heusen/van-heusen-graphic-printed-cotton-lounge-tshirts/24494296/buy,4.6,8
46,Men Polo Collar T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/u.s.+polo+assn./us-polo-assn-men-polo-collar-slim-fit-t-shirt/29441846/buy,No rating found,No rating count found
47,Printed Cotton Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-printed-pure-cotton-lounge-tshirts/30572077/buy,No rating found,No rating count found
48,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138184/buy,4.1,2k
49,Men Rabbit-5 Slim Fit T-Shirt,Rs.1299,Rs.1091,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rings-4-slim-fit-solid-polo-collar-t-shirt/24039830/buy,4.4,196
50,Men Barrie Slim Fit Polo,Rs.3499,Rs.1679,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23669078/2023/12/13/38c6b41b-2fff-42d7-837b-670f759943931702443059484RARERABBITBandCollarSlimFitCottonT-Shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-barrie-band-collar-slim-fit-cotton-t-shirt/23669078/buy,4,134
51,Graphics Logo Printed T-Shirt,Rs.1299,Rs.779,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28055106/2024/3/5/d23c4f53-48db-4731-b8c1-eb07662e72fe1709655151561GraphicsLogoMensT-shirt1.jpg",https://www.myntra.comtshirts/puma/puma-graphics-logo-printed-t-shirt/28055106/buy,4.4,265
52,Pure Cotton T-shirt,Rs.599,Rs.449,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24198466/2023/7/26/2f4c06a1-365e-4499-b5c4-a0f422ba8be41690315378062KiddoPantiKidsBlackHenleyNeckT-shirt1.jpg",https://www.myntra.comtshirts/kiddopanti/kiddopanti-unisex-kids-henley-neck-pure-cotton-t-shirt/24198466/buy,4.6,28
53,Men Polo Collar T-shirt,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29441846/2024/5/9/4fc79fe7-752e-496a-955a-d53b82899fd51715242625522USPoloAssnMenPoloCollarSlimFitT-shirt1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn./us-polo-assn-men-polo-collar-slim-fit-t-shirt/29441846/buy,No rating found,No rating count found
54,Infants Boys Pack Of 3 T-shirt,Rs.899,Rs.404,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27193874/2024/1/26/fef1b751-e8f6-4314-aa6a-99c1bf6725991706217078848MINIKLUBBoys3PrintedAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/mini+klub/mini-klub-infants-boys-pack-of-3-conversational-printed-round-neck-t-shirt/27193874/buy,4.4,14
